ID,Culture,Fly,Hot,Music,Nature,Likes
1,0,0,1,0,0,0
2,0,1,1,0,0,0
3,1,1,1,1,1,0
4,0,1,1,1,1,0
5,0,1,1,0,1,0
6,1,0,0,1,1,1
7,0,0,0,0,0,0
8,0,0,0,1,1,1
9,1,1,1,0,0,0
10,1,1,0,1,1,1
11,1,1,0,0,0,1
12,1,0,1,0,1,1
13,0,0,0,1,0,0
14,1,0,1,1,0,0
15,1,1,1,1,0,0
16,1,0,0,1,0,0
17,1,1,1,0,1,0
18,0,0,0,0,1,1
19,0,1,0,0,0,1
20,1,0,0,0,1,1
21,0,0,1,1,1,1
22,0,1,1,1,0,0
23,0,0,1,0,1,1
24,0,0,1,1,0,0
25,0,1,0,0,1,1
26,1,1,0,1,0,1
27,1,0,1,1,1,1
28,1,0,1,0,0,0
29,0,1,0,1,1,1
30,1,0,0,0,0,0
31,1,1,0,0,1,1
32,0,1,0,1,0,1
