ID,price,maint-cost,doors,persons,trunk-size,safety,acceptable
217,vhigh, med, 2, 2, small, low, unacc
218,vhigh, med, 2, 2, small, med, unacc
219,vhigh, med, 2, 2, small, high, unacc
220,vhigh, med, 2, 2, med, low, unacc
221,vhigh, med, 2, 2, med, med, unacc
222,vhigh, med, 2, 2, med, high, unacc
223,vhigh, med, 2, 2, big, low, unacc
224,vhigh, med, 2, 2, big, med, unacc
225,vhigh, med, 2, 2, big, high, unacc
226,vhigh, med, 2, 4, small, low, unacc
227,vhigh, med, 2, 4, small, med, unacc
228,vhigh, med, 2, 4, small, high, acc
229,vhigh, med, 2, 4, med, low, unacc
230,vhigh, med, 2, 4, med, med, unacc
231,vhigh, med, 2, 4, med, high, acc
232,vhigh, med, 2, 4, big, low, unacc
233,vhigh, med, 2, 4, big, med, acc
234,vhigh, med, 2, 4, big, high, acc
235,vhigh, med, 2, more, small, low, unacc
236,vhigh, med, 2, more, small, med, unacc
237,vhigh, med, 2, more, small, high, unacc
238,vhigh, med, 2, more, med, low, unacc
239,vhigh, med, 2, more, med, med, unacc
240,vhigh, med, 2, more, med, high, acc
241,vhigh, med, 2, more, big, low, unacc
242,vhigh, med, 2, more, big, med, acc
243,vhigh, med, 2, more, big, high, acc
244,vhigh, med, 3, 2, small, low, unacc
245,vhigh, med, 3, 2, small, med, unacc
246,vhigh, med, 3, 2, small, high, unacc
247,vhigh, med, 3, 2, med, low, unacc
248,vhigh, med, 3, 2, med, med, unacc
249,vhigh, med, 3, 2, med, high, unacc
250,vhigh, med, 3, 2, big, low, unacc
251,vhigh, med, 3, 2, big, med, unacc
252,vhigh, med, 3, 2, big, high, unacc
253,vhighsd, measdd, 3, 4, small, low, unacc
